57110	 90001
51223	 90002
66266	 90003
62180	 90004
37681	 90005
59185	 90006
40920	 90007
32327	 90008
3800	 90010
103892	 90011
31103	 90012
11772	 90013
7005	 90014
18986	 90015
47596	 90016
23768	 90017
49310	 90018
64458	 90019
38967	 90020
3951	 90021
67179	 90022
45903	 90023
47452	 90024
42147	 90025
67869	 90026
45151	 90027
28714	 90028
38617	 90029
39316	 90031
45786	 90032
48852	 90033
57964	 90034
28418	 90035
36865	 90036
62276	 90037
28917	 90038
28514	 90039
12520	 90040
27425	 90041
62430	 90042
44789	 90043
89779	 90044
39480	 90045
48581	 90046
48606	 90047
21397	 90048
35482	 90049
7827	 90056
44998	 90057
3223	 90058
40952	 90059
26872	 90061
32821	 90062
55758	 90063
25403	 90064
45527	 90065
55277	 90066
2424	 90067
22286	 90068
20483	 90069
15	 90071
539	 90073
9377	 90077
0	 90079
3217	 90089
0	 90090
5464	 90094
3	 90095
101279	 90201
21741	 90210
8434	 90211
11555	 90212
49328	 90220
53704	 90221
31869	 90222
31766	 90230
15149	 90232
25876	 90240
42399	 90241
43497	 90242
16654	 90245
47487	 90247
9947	 90248
26669	 90249
93193	 90250
19506	 90254
75066	 90255
34924	 90260
69745	 90262
1612	 90263
18116	 90265
35135	 90266
27372	 90270
22986	 90272
25209	 90274
41804	 90275
35293	 90277
40071	 90278
94396	 90280
6368	 90290
28341	 90291
21576	 90292
12132	 90293
36568	 90301
29415	 90302
26176	 90303
28210	 90304
14853	 90305
6722	 90401
12250	 90402
24525	 90403
21360	 90404
27186	 90405
43180	 90501
18010	 90502
44383	 90503
32102	 90504
36678	 90505
0	 90506
31974	 90601
25777	 90602
20063	 90603
39407	 90604
40331	 90605
32396	 90606
35153	 90621
15554	 90623
47993	 90630
67619	 90631
49012	 90638
62549	 90640
105549	 90650
62928	 90660
14866	 90670
16591	 90701
49399	 90703
4090	 90704
76615	 90706
25457	 90710
31499	 90712
27925	 90713
20388	 90715
14184	 90716
21318	 90717
21751	 90720
54099	 90723
59662	 90731
21115	 90732
23729	 90740
53815	 90744
57251	 90745
25990	 90746
0	 90747
11074	 90755
39347	 90802
32031	 90803
40311	 90804
93524	 90805
42399	 90806
31481	 90807
38232	 90808
36735	 90810
58911	 90813
19131	 90814
39733	 90815
117	 90822
0	 90831
36126	 91001
31715	 91006
34095	 91007
1391	 91008
26074	 91010
20280	 91011
40598	 91016
8415	 91020
10917	 91024
25616	 91030
20372	 91040
27585	 91042
156	 91046
20460	 91101
27480	 91103
36751	 91104
11254	 91105
24229	 91106
32940	 91107
13361	 91108
22781	 91201
22830	 91202
13220	 91203
16032	 91204
37810	 91205
33065	 91206
10506	 91207
16245	 91208
328	 91210
30356	 91214
25488	 91301
25709	 91302
26855	 91303
50231	 91304
45061	 91306
24474	 91307
36557	 91311
26898	 91316
34882	 91321
27669	 91324
32417	 91325
33708	 91326
2702	 91330
103689	 91331
74363	 91335
34188	 91340
91725	 91342
60254	 91343
51747	 91344
18496	 91345
33348	 91350
32362	 91351
47807	 91352
28722	 91354
32605	 91355
29458	 91356
20438	 91361
36045	 91362
25851	 91364
39499	 91367
13811	 91377
20158	 91381
29855	 91384
40328	 91387
19786	 91390
39285	 91401
69817	 91402
23484	 91403
51145	 91405
51558	 91406
24628	 91411
30991	 91423
14372	 91436
20849	 91501
11371	 91502
24939	 91504
30778	 91505
18904	 91506
37180	 91601
17473	 91602
29034	 91604
56343	 91605
44958	 91606
27927	 91607
0	 91608
59705	 91702
76571	 91706
74796	 91709
80358	 91710
35705	 91711
34409	 91722
18275	 91723
26184	 91724
29591	 91731
61386	 91732
43896	 91733
25356	 91740
25824	 91741
85040	 91744
54013	 91745
30485	 91746
45406	 91748
33249	 91750
32742	 91754
27496	 91755
476	 91759
36375	 91763
46457	 91765
71599	 91766
48068	 91767
34537	 91768
62097	 91770
33119	 91773
23988	 91775
38475	 91776
34332	 91780
25938	 91784
51165	 91786
43079	 91789
44907	 91790
32414	 91791
30854	 91792
52735	 91801
30322	 91803
32725	 92301
16763	 92371
6220	 92372
4894	 92397
35533	 92821
3613	 92823
51767	 92833
2031	 93040
54366	 93063
5077	 93225
1699	 93243
4176	 93252
7993	 93510
3074	 93523
2932	 93532
39341	 93534
72046	 93535
70918	 93536
13033	 93543
1259	 93544
74929	 93550
50798	 93551
38158	 93552
2138	 93553
18910	 93560
388	 93563
7285	 93591
